id;summary_type;fee_year;due_date;apr_summary;may_summary;jun_summary;jul_summary;aug_summary;sep_summary;oct_summary;nov_summary;dec_summary;jan_summary;feb_summary;mar_summary;additional_info_1;additional_info_2;create_date;last_modified;cancel_date
1;mobile Grocery monitor;Customer Market;20324;Computer;Representative Refined Handmade;web-enabled override Shoes;Card Seamless Shoes;conglomeration;Outdoors harness Marketing;transmitting firewall SMS;connecting hacking RAM;Row encoding;Estates Loan;hacking initiatives Streets;China invoice;generate;Executive;2021-05-04;2021-05-04;2021-05-03
2;programming indigo;CSS quantifying Borders;70409;Louisiana Mountains;Camp;virtual Directives;Up-sized neural Islands;Account fresh-thinking toolset;Health Dynamic;Program deposit CSS;disintermediate application Accounts;white Sausages online;Cambridgeshire;Awesome architectures Infrastructure;success synthesize;XML;users productivity;2021-05-04;2021-05-04;2021-05-03
3;TCP orchestrate;Rue deposit 1080p;32277;HDD Internal Point;Jersey;calculate;Fresh visualize;Loan;dot-com Towels Run;Optimization cross-platform;functionalities;Internal;Soft payment;Specialist;Facilitator;Kids leading-edge orchestration;haptic Pine;2021-05-04;2021-05-04;2021-05-03
4;Mission;transmitter Denar;70334;Implementation;hierarchy Computer;bifurcated;Granite Rapid;Consultant value-added Checking;matrix Stand-alone Loan;Buckinghamshire;Buckinghamshire Refined Multi-layered;e-markets Practical holistic;niches Bedfordshire Borders;connect XSS;Designer Tools;Jewelery Savings Chips;Savings envisioneer bandwidth;2021-05-03;2021-05-04;2021-05-04
5;up Dollar;complexity;3116;Garden auxiliary explicit;Armenia;clicks-and-mortar transmitting Fantastic;indigo compressing Investor;productize;Seamless Manager holistic;Bhutanese programming New;grow alarm Buckinghamshire;open-source;Refined digital programming;matrix drive Incredible;neural Salad Washington;Chief Developer;Congo Pakistan Generic;2021-05-04;2021-05-04;2021-05-04
6;Developer Savings;Practical Carolina synergize;82329;Triple-buffered Division;sticky Berkshire;Baht;program Berkshire Avon;Mouse Pants;responsive payment Morocco;deposit transform;Tugrik;Small Manager;Cheese Frozen;indigo Analyst Licensed;Islands Gloves;Refined virtual value-added;Assistant;2021-05-04;2021-05-04;2021-05-04
7;Product convergence superstructure;Fully-configurable Hat;57160;overriding Home Generic;Kansas Architect;Arab;SMS Configurable;Avon quantify improvement;indexing Tuna;Kroon Data sensor;lavender;Malta Cheese;sensor auxiliary;Jewelery;South;compress;encoding;2021-05-04;2021-05-04;2021-05-04
8;Frozen Market Keyboard;Marketing;54501;Cotton;haptic Forward bus;Dollar;Computer;Customer withdrawal;calculating;functionalities Chicken;Ohio Fords;Garden;Chicken Tobago;protocol;Inlet solid;neural CSS;quantify Sleek;2021-05-04;2021-05-04;2021-05-04
9;Gloves network vortals;capacitor SMTP Salad;10155;hacking Personal Creek;Data HTTP benchmark;index;iterate Infrastructure Industrial;front-end;virtual Wooden;invoice;withdrawal analyzing neural;USB;open-source attitude-oriented deposit;payment SCSI;Corporate tangible;quantify Pre-emptive teal;Licensed;2021-05-03;2021-05-03;2021-05-04
10;Plastic Loan Buckinghamshire;invoice;97917;Bedfordshire Berkshire HDD;RSS Pants;supply-chains Sports innovative;Tanzania;Vision-oriented Books;Venezuela Intelligent cross-platform;initiative protocol;dot-com;harness;array;Cotton Oro Directives;utilize Brook;Mouse Business-focused;multi-tasking deposit;2021-05-03;2021-05-04;2021-05-03
