id;amount_paid;mode_of_pay;note_numbers;upi_id;remarks;payment_date;receipt_id;create_date;last_modified;cancel_date
1;77439;CASH;Future methodical;ADP invoice;navigating Operations;2021-05-04;Down-sized;2021-05-04;2021-05-04;2021-05-04
2;29564;UPI;Kong index;Massachusetts Mongolia;Shore Chair Metal;2021-05-04;Planner Arkansas;2021-05-04;2021-05-04;2021-05-03
3;9525;CASH;bandwidth-monitored;Networked B2B;Tools;2021-05-04;data-warehouse synthesizing;2021-05-04;2021-05-03;2021-05-04
4;51472;CASH;Bike;hack Berkshire;Gorgeous Shoes;2021-05-03;Forge Florida;2021-05-04;2021-05-03;2021-05-03
5;42890;UPI;models solutions;Home;ADP;2021-05-03;Lead;2021-05-03;2021-05-04;2021-05-04
6;78432;UPI;Savings Chicken microchip;Account PNG schemas;Product Togo;2021-05-04;Soft New Shoes;2021-05-03;2021-05-04;2021-05-04
7;40915;CASH;Wyoming Junction plum;wireless Fresh application;Plastic Account Arkansas;2021-05-04;Home solution Ergonomic;2021-05-03;2021-05-04;2021-05-03
8;77979;UPI;Mission navigating synergistic;Fresh 1080p bypass;Savings Metal;2021-05-04;Andorra revolutionary;2021-05-04;2021-05-03;2021-05-03
9;43812;CASH;HDD;Avon;solid SMS;2021-05-04;tertiary compress;2021-05-04;2021-05-04;2021-05-03
10;65553;UPI;alarm;monitoring;Frozen Forward Lead;2021-05-03;Comoro;2021-05-04;2021-05-03;2021-05-04
