id;class_name;class_long_name;create_date;last_modified;cancel_date
1;Quality-focused Account;Avon Pennsylvania Fundamental;2021-05-03;2021-05-04;2021-05-04
2;Compatible Via;Rubber vertical RAM;2021-05-03;2021-05-03;2021-05-03
3;executive Fantastic Azerbaijan;Cambridgeshire Pre-emptive payment;2021-05-04;2021-05-04;2021-05-04
4;Stravenue;one-to-one Bike B2C;2021-05-03;2021-05-04;2021-05-04
5;Producer Ergonomic cross-platform;platforms;2021-05-04;2021-05-04;2021-05-03
6;Rubber calculate overriding;Automotive Orchestrator China;2021-05-04;2021-05-03;2021-05-04
7;Personal engine Account;application mindshare;2021-05-04;2021-05-04;2021-05-04
8;Soft;Norwegian Movies;2021-05-03;2021-05-04;2021-05-04
9;SDR Metal evolve;Health Specialist North;2021-05-03;2021-05-03;2021-05-04
10;Alabama circuit Group;mint;2021-05-03;2021-05-04;2021-05-03
