id;user_name;user_device_details;action;data_1;data_2;data_3;create_date;last_modified;cancel_date
1;Intuitive Market Delaware;users;Central up Personal;Dalasi International;magenta Borders Implementation;Uruguayo;2021-05-04;2021-05-03;2021-05-04
2;input;Papua Extended;Bedfordshire;Crescent Peso Minnesota;Music;Borders facilitate;2021-05-04;2021-05-04;2021-05-03
3;purple Beauty;Administrator;bandwidth Rubber index;Loan;circuit;tan Buckinghamshire payment;2021-05-04;2021-05-03;2021-05-04
4;quantifying;Home;Africa compressing parsing;Plastic budgetary Home;indigo;deposit;2021-05-03;2021-05-04;2021-05-04
5;hack intuitive;partnerships;actuating;software;Specialist auxiliary robust;Bedfordshire array synthesize;2021-05-04;2021-05-04;2021-05-03
6;Dynamic solutions;Centralized transmit PNG;Kids FTP program;Cotton Computer SMS;cross-platform Regional;SSL backing;2021-05-04;2021-05-04;2021-05-03
7;enterprise pink;Total;Lebanese;Road Pennsylvania;Salad bypass;Liberia;2021-05-04;2021-05-03;2021-05-04
8;Direct;Cotton;Implementation;Shoes Tuna;Wooden Borders Forward;pink;2021-05-03;2021-05-03;2021-05-04
9;background;parse empower AI;content-based virtual;Rubber;Tasty Austria;TCP projection Macedonia;2021-05-04;2021-05-03;2021-05-04
10;Table Synergistic;Generic;networks Poland Interface;array payment payment;bleeding-edge York application;HTTP Manors best-of-breed;2021-05-03;2021-05-03;2021-05-03
